nombre_completo,partido,region,distrito_o_circunscripcion,camara,url_perfil
Rafael   Prohens Espinosa,Partido R.N.,Región de Atacama,Circunscripción 4,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Yasna Provoste Campillay,Partido P.D.C.,Región de Atacama,Circunscripción 4,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Kenneth Pugh Olavarría,Partido Independiente,Región de Valparaíso,Circunscripción 6,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Jaime Quintana Leal,Partido P.P.D.,Región de La Araucanía,Circunscripción 11,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Ximena Rincón González,Partido Demócratas,Región del Maule,Circunscripción 9,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Gastón Saavedra Chandía,Partido P.S.,Región del Biobío,Circunscripción 10,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
David Sandoval Plaza,Partido U.D.I.,Región de Aysén del General Carlos Ibáñez del Campo,Circunscripción 14,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Gustavo Sanhueza Dueñas,Partido U.D.I.,Región de Ñuble,Circunscripción 16,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Alejandra Sepúlveda Orbenes,Partido Independiente,Región del Libertador General Bernardo O'Higgins,Circunscripción 8,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Jorge Soria Quiroga,Partido P.P.D.,Región de Tarapacá,Circunscripción 2,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Enrique Van Rysselberghe Herrera,Partido U.D.I.,Región del Biobío,Circunscripción 10,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Esteban Velásquez Núñez,Partido F.R.E.V.S.,Región de Antofagasta,Circunscripción 3,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Paulina Vodanovic Rojas,Partido P.S.,Región del Maule,Circunscripción 9,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Matías Walker Prieto,Partido Demócratas,Región de Coquimbo,Circunscripción 5,Senador,https://www.senado.cl/senadoras-y-senadores/listado-de-senadoras-y-senadores#
Sra. María Candelaria Acevedo,PC,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1096
Sr. Eric Aedo,DC,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1097
Sra. Yovana Ahumada,PSC,,N°3,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1098
Sr. Jorge Alessandri,UDI,,N°10,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1009
Sr. René Alinco,IND,,N°27,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=803
Sr. Jaime Araya,IND,,N°3,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1099
Sr. Cristián Araya,PREP,,N°11,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1100
Sra. Mónica Arce,IND,,N°12,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1101
Sr. Roberto Arroyo,PSC,,N°20,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1102
Sra. Danisa Astudillo,PS,,N°2,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1103
Sra. Chiara Barchiesi,PREP,,N°6,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1104
Sr. Boris Barrera,PC,,N°9,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1012
Sr. Héctor Barría,DC,,N°25,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1105
Sr. Arturo Barrios,PS,,N°7,Diputado,https://www.camara.cldetalle/mociones.aspx?prmID=1185
